Date,Volume
2017-02-23,4184046.0
2017-02-22,5037762.0
2017-02-21,9274668.0
2017-02-17,5105647.0
2017-02-16,4295811.0
2017-02-15,4343541.0
2017-02-14,4775167.0
2017-02-13,2753068.0
2017-02-10,3296963.0
2017-02-09,2931873.0
2017-02-08,2882742.0
2017-02-07,3239029.0
2017-02-06,3863165.0
2017-02-03,2653721.0
2017-02-02,2197649.0
2017-02-01,2968601.0
2017-01-31,3226774.0
2017-01-30,2704899.0
2017-01-27,3149024.0
2017-01-26,2931491.0
2017-01-25,3631714.0
2017-01-24,4055080.0
2017-01-23,7055951.0
2017-01-20,4853702.0
2017-01-19,5078666.0
2017-01-18,3869678.0
2017-01-17,3976936.0
2017-01-13,3117703.0
2017-01-12,3600181.0
2017-01-11,4643728.0
2017-01-10,5928339.0
2017-01-09,4310227.0
2017-01-06,3827482.0
2017-01-05,3821073.0
2017-01-04,4055284.0
2017-01-03,5300410.0
2016-12-30,4149140.0
2016-12-29,2777885.0
2016-12-28,3369386.0
2016-12-27,2254748.0
2016-12-23,2337685.0
2016-12-22,4094496.0
2016-12-21,2705503.0
2016-12-20,4301529.0
2016-12-19,3463103.0
2016-12-16,9429194.0
2016-12-15,5839829.0
2016-12-14,7033396.0
2016-12-13,6886268.0
2016-12-12,6276056.0
2016-12-09,5174577.0
2016-12-08,4975219.0
2016-12-07,6987286.0
2016-12-06,4292631.0
2016-12-05,4065425.0
2016-12-02,3738323.0
2016-12-01,5398644.0
2016-11-30,6972912.0
2016-11-29,4127022.0
2016-11-28,4858978.0
2016-11-25,2545977.0
2016-11-23,3610150.0
2016-11-22,5533566.0
2016-11-21,4072116.0
2016-11-18,4428888.0
2016-11-17,6801084.0
2016-11-16,9778412.0
2016-11-15,13445388.0
2016-11-14,11438461.0
2016-11-11,5496122.0
2016-11-10,8736976.0
2016-11-09,8052506.0
2016-11-08,6105468.0
2016-11-07,5510441.0
2016-11-04,4607562.0
2016-11-03,5113483.0
2016-11-02,4845459.0
2016-11-01,7492541.0
2016-10-31,5671525.0
2016-10-28,4497717.0
2016-10-27,4261602.0
2016-10-26,5454160.0
2016-10-25,8731346.0
2016-10-24,3824719.0
2016-10-21,3234032.0
2016-10-20,3543223.0
2016-10-19,4095509.0
2016-10-18,3563302.0
2016-10-17,3753022.0
2016-10-14,4462055.0
2016-10-13,3655714.0
2016-10-12,3545888.0
2016-10-11,5113677.0
2016-10-10,4349741.0
2016-10-07,5500226.0
2016-10-06,7470705.0
2016-10-05,4115427.0
2016-10-04,4848592.0
2016-10-03,3652705.0
2016-09-30,5694499.0
2016-09-29,5987412.0
2016-09-28,5746299.0
2016-09-27,4433646.0
2016-09-26,5337799.0
2016-09-23,4464250.0
2016-09-22,4099565.0
2016-09-21,5367370.0
2016-09-20,3626428.0
2016-09-19,4475328.0
2016-09-16,6940062.0
2016-09-15,5110447.0
2016-09-14,4313902.0
2016-09-13,6376284.0
2016-09-12,7882616.0
2016-09-09,6315009.0
2016-09-08,5019625.0
2016-09-07,4676049.0
2016-09-06,4215934.0
2016-09-02,3402572.0
2016-09-01,3851836.0
2016-08-31,4650586.0
2016-08-30,3440422.0
2016-08-29,3227491.0
2016-08-26,4193411.0
2016-08-25,3168609.0
2016-08-24,4110279.0
2016-08-23,2959986.0
2016-08-22,2752526.0
2016-08-19,3959011.0
2016-08-18,4430783.0
2016-08-17,5222110.0
2016-08-16,7286139.0
2016-08-15,6327437.0
2016-08-12,4089419.0
2016-08-11,4183308.0
2016-08-10,3438042.0
2016-08-09,3180435.0
2016-08-08,3182761.0
2016-08-05,3022121.0
2016-08-04,3802914.0
2016-08-03,3642635.0
2016-08-02,3898130.0
2016-08-01,3157471.0
2016-07-29,3662531.0
2016-07-28,3229964.0
2016-07-27,3029605.0
2016-07-26,2575621.0
2016-07-25,3352353.0
2016-07-22,2627239.0
2016-07-21,4975126.0
2016-07-20,3092000.0
2016-07-19,3831522.0
2016-07-18,3727629.0
2016-07-15,5322755.0
2016-07-14,3122618.0
2016-07-13,4231757.0
2016-07-12,3615660.0
2016-07-11,4576968.0
2016-07-08,4806226.0
2016-07-07,3973585.0
2016-07-06,4931970.0
2016-07-05,4096531.0
2016-07-01,5645179.0
2016-06-30,6641997.0
2016-06-29,5782130.0
2016-06-28,5384856.0
2016-06-27,5674722.0
2016-06-24,8978115.0
2016-06-23,4783581.0
2016-06-22,3723663.0
2016-06-21,3450869.0
2016-06-20,3880279.0
2016-06-17,7541933.0
2016-06-16,4432194.0
2016-06-15,5139288.0
2016-06-14,7302914.0
2016-06-13,4829268.0
2016-06-10,3926010.0
2016-06-09,3450620.0
2016-06-08,3742365.0
2016-06-07,4433982.0
2016-06-06,8051444.0
2016-06-03,4155852.0
2016-06-02,3858481.0
2016-06-01,4744164.0
2016-05-31,6366822.0
2016-05-27,4025265.0
2016-05-26,3996745.0
