Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-11-17,167.0,168.43,166.06,167.74,4530027.0,0.0,1.0,153.58049948953035,154.8955899941413,152.7160344025833,154.2610358345738,4530027.0
2017-11-16,166.68,167.76,166.06,167.5,4585477.0,0.0,1.0,153.28621350248454,154.27942870876413,152.7160344025833,154.04032134428942,4585477.0
2017-11-15,167.44,167.44,165.35,165.47,5534520.0,0.0,1.0,153.98514272171832,153.98514272171832,152.0630873688254,152.17344461396758,5534520.0
2017-11-14,163.62,168.14,163.15,168.06,10281508.0,0.0,1.0,150.47210375135901,154.62889331838102,150.03987120788548,154.55532182161957,10281508.0
2017-11-13,164.64,166.64,164.25,165.35,7175307.0,0.0,1.0,151.4101403350675,153.2494277541038,151.05147928835544,152.0630873688254,7175307.0
2017-11-10,163.34,164.58,162.93,164.11,3554220.0,0.0,1.0,150.21460351269394,151.35496171249645,149.8375495917915,150.92272916902292,3554220.0
2017-11-09,164.1,164.135,162.28,163.27,3381255.0,0.0,1.0,150.91353273192772,150.94572026176084,149.2397811806047,150.15022845302767,3381255.0
2017-11-08,163.34,164.68,163.27,164.05,2661622.0,0.0,1.0,150.21460351269394,151.44692608344826,150.15022845302767,150.86755054645184,2661622.0
2017-11-07,164.09,164.4,162.83,163.66,3198129.0,0.0,1.0,150.90433629483255,151.18942584478316,149.7455852208397,150.50888949973972,3198129.0
2017-11-06,164.8,164.88,163.01,164.22,3275219.0,0.0,1.0,151.55728332859044,151.63085482535186,149.91112108855293,151.0238899770699,3275219.0
2017-11-03,163.01,164.99,162.68,164.39,3080591.0,0.0,1.0,149.91112108855293,151.73201563339887,149.60763866441195,151.18022940768796,3080591.0
2017-11-02,165.01,165.01,160.53,162.71,6517095.0,0.0,1.0,151.7504085075892,151.7504085075892,147.63040468894795,149.63522797569752,6517095.0
2017-11-01,166.42,166.74,165.12,165.38,3568321.0,0.0,1.0,153.0471061380098,153.34139212505565,151.85156931563623,152.09067668011093,3568321.0
2017-10-31,165.4,166.34,165.1,165.78,2922416.0,0.0,1.0,152.10906955430133,152.97353464124836,151.83317644144586,152.45853416391822,2922416.0
2017-10-30,166.99,166.99,164.88,165.31,3906231.0,0.0,1.0,153.57130305243518,153.57130305243518,151.63085482535186,152.02630162044468,3906231.0
2017-10-27,166.8,167.75,166.46,167.34,3720385.0,0.0,1.0,153.39657074762673,154.27023227166896,153.08389188639055,153.8931783507665,3720385.0
2017-10-26,166.39,167.94,166.1068,167.65,3750129.0,0.0,1.0,153.01951682672427,154.4449645764774,152.75907372818872,154.17826790071715,3750129.0
2017-10-25,166.11,166.95,165.3803,166.09,2945980.0,0.0,1.0,152.7620165880592,153.53451730405442,152.0909525732238,152.74362371386883,2945980.0
2017-10-24,164.67,166.46,164.65,166.03,3686538.0,0.0,1.0,151.43772964635306,153.08389188639055,151.4193367721627,152.68844509129775,3686538.0
2017-10-23,164.04,166.265,163.75,164.74,3995025.0,0.0,1.0,150.85835410935664,152.9045613630345,150.59165743359637,151.50210470601934,3995025.0
2017-10-20,163.97,164.15,162.74,163.43,4166481.0,0.0,1.0,150.79397904969036,150.95951491740362,149.66281728698306,150.29737144655059,4166481.0
2017-10-19,163.5,164.11,162.77,163.24,2675062.0,0.0,1.0,150.36174650621683,150.92272916902292,149.6904065982686,150.12263914174213,2675062.0
2017-10-18,163.42,164.24,163.35,163.45,2758595.0,0.0,1.0,150.28817500945536,151.04228285126027,150.2237999497891,150.31576432074093,2758595.0
2017-10-17,164.22,164.92,161.5111,163.35,4189096.0,0.0,1.0,151.0238899770699,151.6676405737326,148.53266713235618,150.2237999497891,4189096.0
2017-10-16,164.47,164.67,163.26,164.22,2586716.0,0.0,1.0,151.25380090444943,151.43772964635306,150.14103201593247,151.0238899770699,2586716.0
2017-10-13,164.92,166.0699,164.35,164.47,3258984.0,0.0,1.0,151.6676405737326,152.72513887530752,151.14344365930725,151.25380090444943,3258984.0
2017-10-12,165.41,165.41,164.47,164.59,3397775.0,0.0,1.0,152.1182659913965,152.1182659913965,151.25380090444943,151.36415814959162,3397775.0
2017-10-11,165.19,165.865,164.45,165.25,2319274.0,0.0,1.0,151.9159443753025,152.53670387922725,151.23540803025907,151.97112299787358,2319274.0
2017-10-10,165.7,165.8,164.64,165.16,2755398.0,0.0,1.0,152.38496266715674,152.47692703810858,151.4101403350675,151.88835506401696,2755398.0
2017-10-09,166.14,166.63,165.42,165.71,2131587.0,0.0,1.0,152.78960589934474,153.24023131700864,152.12746242849167,152.39415910425194,2131587.0
2017-10-06,166.18,166.63,165.74,165.85,2916121.0,0.0,1.0,152.82639164772547,153.24023131700864,152.42174841553748,152.52290922358446,2916121.0
2017-10-05,165.07,166.25,164.26,166.12,3504865.0,0.0,1.0,151.80558713016032,152.89076670739175,151.0606757254506,152.77121302515437,3504865.0
2017-10-04,165.49,166.08,164.91,165.29,2746513.0,0.0,1.0,152.19183748815794,152.73442727677366,151.65844413663743,152.00790874625432,2746513.0
2017-10-03,164.06,165.28,164.0,165.17,3046281.0,0.0,1.0,150.876746983547,151.99871230915915,150.8215683609759,151.89755150111213,3046281.0
2017-10-02,164.2,164.25,163.22,164.02,2721377.0,0.0,1.0,151.00549710287953,151.05147928835544,150.10424626755176,150.83996123516627,2721377.0
2017-09-29,162.5,163.61,162.15,163.56,3465252.0,0.0,1.0,149.4421027966987,150.46290731426384,149.12022749836734,150.41692512878794,3465252.0
2017-09-28,160.72,162.45,160.66,162.36,4613200.0,0.0,1.0,147.80513699375638,149.39612061122278,147.7499583711853,149.31335267736617,4613200.0
2017-09-27,161.38,161.69,160.14,160.92,3966113.0,0.0,1.0,148.41210184203837,148.69719139198898,147.27174364223586,147.98906573566,3966113.0
2017-09-26,161.55,162.0,160.79,161.26,3222646.0,0.0,1.0,148.56844127265646,148.98228094193962,147.86951205342265,148.30174459689619,3222646.0
2017-09-25,160.05,161.43,159.75,161.1,4896374.0,0.0,1.0,147.18897570837925,148.45808402751427,146.91308259552378,148.1546016033733,4896374.0
2017-09-22,159.14,160.09,159.01,159.97,3576079.0,0.0,1.0,146.35209993271772,147.22576145675995,146.23254625048034,147.11540421161777,3576079.0
2017-09-21,158.87,159.556,158.72,159.19,3082093.0,0.0,1.0,146.10379613114782,146.73467171587728,145.9658495747201,146.39808211819363,3082093.0
2017-09-20,157.57,159.39,157.36,158.68,4598009.0,0.0,1.0,144.90825930877423,146.58201086009726,144.71513412977544,145.9290638263394,4598009.0
2017-09-19,157.8,158.32,157.16,157.66,3712727.0,0.0,1.0,145.1197773619634,145.59799209091284,144.53120538787178,144.99102724263085,3712727.0
2017-09-18,159.0,159.0,157.69,157.81,4010587.0,0.0,1.0,146.22334981338517,146.22334981338517,145.01861655391642,145.1289737990586,4010587.0
2017-09-15,159.98,159.99,158.29,158.4,9124244.0,0.0,1.0,147.12460064871294,147.13379708580814,145.5704027796273,145.67156358767429,9124244.0
2017-09-14,160.35,160.85,159.33,159.38,5287433.0,0.0,1.0,147.46486882123466,147.92469067599373,146.52683223752618,146.57281442300206,5287433.0
2017-09-13,160.39,161.38,159.55,160.02,4713676.0,0.0,1.0,147.5016545696154,148.41210184203837,146.72915385362018,147.1613863970937,4713676.0
2017-09-12,159.06,160.93,158.71,159.91,5793753.0,0.0,1.0,146.27852843595628,147.9982621727552,145.95665313762493,147.0602255890467,5793753.0
2017-09-11,158.42,158.74,156.22,158.37,8847928.0,0.0,1.0,145.68995646186465,145.98424244891046,143.66674030092474,145.64397427638875,8847928.0
2017-09-08,159.09,160.69,157.52,159.66,10088630.0,0.0,1.0,146.3061177472418,147.77754768247084,144.86227712329833,146.83031466166716,10088630.0
2017-09-07,158.17,159.28,156.79,157.93,8264524.0,0.0,1.0,145.46004553448512,146.48085005205027,144.19093721535006,145.23933104420078,8264524.0
2017-09-06,154.86,157.03,154.145,156.56,8126012.0,0.0,1.0,142.41602485598006,144.41165170563443,141.7584796036746,143.9794191621609,8126012.0
2017-09-05,151.71,153.92,151.7,152.93,7512387.0,0.0,1.0,139.5191471709979,141.551559769033,139.5099507339027,140.64111249661005,7512387.0
2017-09-01,150.26,150.94,149.76,150.78,3383036.0,0.0,1.0,138.18566379219658,138.8110215146689,137.7258419374375,138.66387852114602,3383036.0
2017-08-31,150.61,150.925,149.85,149.87,6083340.0,0.0,1.0,138.50753909052796,138.79722685902615,137.80860987129415,137.82700274548452,6083340.0
2017-08-30,150.0,150.25,149.28,150.0,3640966.0,0.0,1.0,137.94655642772187,138.1764673551014,137.2844129568688,137.94655642772187,3640966.0
2017-08-29,150.07,150.9,149.03,149.84,5368178.0,0.89,1.0,138.01093148738812,138.7742357662882,137.05450202948927,137.79941343419895,5368178.0
2017-08-28,151.94,152.39,150.43,151.39,6843168.0,0.0,1.0,138.90561187017974,139.31700798273454,137.5251493591624,138.40279439927937,6843168.0
2017-08-25,148.51,150.53,148.4,149.65,3047971.0,0.0,1.0,135.76985927892846,137.61657071750793,135.6692957847484,136.81206276406738,3047971.0
2017-08-24,149.73,150.6,147.98,148.25,3735364.0,0.0,1.0,136.8851998507438,137.68056566834977,135.28532607969723,135.53216374723013,3735364.0
2017-08-23,148.58,149.48,147.4271,149.1,5235444.0,0.0,1.0,135.83385422977034,136.65664645488,134.77985738940484,136.309245293167,5235444.0
2017-08-22,149.29,150.58,149.29,149.91,3267404.0,0.0,1.0,136.4829458740235,137.6622813966807,136.4829458740235,137.0497582957657,3267404.0
2017-08-21,147.1,149.88,146.89,149.2,4222423.0,0.0,1.0,134.48081812625665,137.02233188826204,134.28883327373106,136.40066665151252,4222423.0
2017-08-18,149.61,149.61,146.96,147.49,6989147.0,0.0,1.0,136.77549422072917,136.77549422072917,134.35282822457296,134.8373614238042,6989147.0
2017-08-17,151.81,152.15,149.61,149.67,4460870.0,0.0,1.0,138.78676410433056,139.09759672270533,136.77549422072917,136.83034703573645,4460870.0
2017-08-16,151.45,152.95,151.16,152.25,6043303.0,0.0,1.0,138.45764721428668,139.82896758946944,138.19252527508468,139.18901808105085,6043303.0
2017-08-15,154.275,154.8,148.26,150.17,13528650.0,0.0,1.0,141.04030058754756,141.52026271886155,135.54130588306467,137.28745382746405,13528650.0
2017-08-14,156.04,156.05,153.56,154.26,6662484.0,0.0,1.0,142.65388756234594,142.6630296981805,140.38663787537712,141.02658738379574,6662484.0
2017-08-11,154.11,155.72,153.98,154.88,3650541.0,0.0,1.0,140.8894553462775,142.3613392156403,140.77060758042828,141.59339980553796,3650541.0
2017-08-10,155.19,155.98,153.88,153.88,4432313.0,0.0,1.0,141.87680601640906,142.59903474733864,140.67918622208276,140.67918622208276,4432313.0
2017-08-09,153.35,155.57,153.32,155.26,3844857.0,0.0,1.0,140.19465302285153,142.22420717812201,140.16722661534786,141.9408009672509,3844857.0
2017-08-08,153.32,154.2,153.08,153.35,3218945.0,0.0,1.0,140.16722661534786,140.97173456878843,139.94781535531865,140.19465302285153,3218945.0
2017-08-07,152.83,154.47,152.47,153.35,3833620.0,0.0,1.0,139.71926195945485,141.21857223632134,139.39014506941098,140.19465302285153,3833620.0
2017-08-04,151.01,152.75,150.8,152.75,3258581.0,0.0,1.0,138.0553932375664,139.64612487277842,137.86340838504083,139.64612487277842,3258581.0
2017-08-03,150.7,152.03,150.5,150.79,5146465.0,0.0,1.0,137.77198702669529,138.9878910926907,137.5891443100043,137.85426624920626,5146465.0
2017-08-02,149.94,150.86,149.92,150.5,3754192.0,0.0,1.0,137.07718470326938,137.91826120004814,137.05890043160025,137.5891443100043,3754192.0
2017-08-01,150.24,150.39,148.95,149.85,4110605.0,0.0,1.0,137.35144877830592,137.48858081582418,136.17211325564872,136.9949054807584,4110605.0
2017-07-31,148.0,149.98,147.54,149.6,5253318.0,0.0,1.0,135.30361035136633,137.11375324660756,134.88307210297694,136.7663520848946,5253318.0
2017-07-28,147.9,148.27,147.32,148.08,3421081.0,0.0,1.0,135.21218899302082,135.55044801889923,134.6819451146168,135.37674743804274,3421081.0
2017-07-27,146.18,147.86,145.89,147.73,5399029.0,0.0,1.0,133.6397416294779,135.1756204496826,133.3746196902759,135.05677268383343,5399029.0
